Name,Team,PA,H,HR,R,RBI,SB,AVG,OBP,SLG,wRC+,WAR,id
Jason Kipnis,Indians,672,152,14,86,76,31,0.257,0.335,0.379,101,3.1,9776
Hanley Ramirez,- - -,667,155,24,79,92,21,0.257,0.322,0.437,107,3,8001
Norichika Aoki,Brewers,588,150,10,81,50,30,0.288,0.355,0.433,115,2.9,13075
Brett Lawrie,Blue Jays,536,135,11,73,48,13,0.273,0.324,0.405,100,2.9,5247
Dexter Fowler,Rockies,530,136,13,72,53,12,0.3,0.389,0.474,123,2.9,4062
Asdrubal Cabrera,Indians,616,150,16,70,68,9,0.27,0.338,0.423,112,2.9,4962
Corey Hart,Brewers,622,152,30,91,83,5,0.27,0.334,0.507,125,2.9,1945
Pedro Alvarez,Pirates,586,128,30,64,85,1,0.244,0.317,0.467,112,2.9,2495
Mark Teixeira,Yankees,524,113,24,66,84,2,0.251,0.332,0.475,116,2.9,1281
Coco Crisp,Athletics,508,118,11,68,46,39,0.259,0.325,0.418,106,2.9,1572
Howie Kendrick,Angels,594,158,8,57,67,14,0.287,0.325,0.4,102,2.8,4229
J.J. Hardy,Orioles,713,158,22,85,68,0,0.238,0.282,0.389,78,2.8,3797
Carlos Gonzalez,Rockies,579,157,22,89,85,20,0.303,0.371,0.51,122,2.7,7287
Michael Brantley,Indians,609,159,6,63,60,12,0.288,0.348,0.402,106,2.7,4106
Alberto Callaspo,Angels,520,115,10,55,53,4,0.252,0.331,0.361,96,2.7,3336
Cameron Maybin,Padres,561,123,8,67,45,26,0.243,0.306,0.349,87,2.7,5223
Zack Cozart,Reds,600,138,15,72,35,4,0.246,0.288,0.399,83,2.7,2616
Alejandro De Aza,White Sox,585,147,9,81,50,26,0.281,0.349,0.41,105,2.7,3371
Ichiro Suzuki,- - -,663,178,9,77,55,29,0.283,0.307,0.39,90,2.7,1101
Alcides Escobar,Royals,648,177,5,68,52,35,0.293,0.331,0.39,98,2.6,6310
Shin-Soo Choo,Indians,686,169,16,88,67,21,0.283,0.373,0.441,131,2.6,3174
Jhonny Peralta,Tigers,585,127,13,58,63,1,0.239,0.305,0.384,86,2.6,1738
Curtis Granderson,Yankees,684,138,43,102,106,10,0.232,0.319,0.492,116,2.6,4747
Justin Upton,Diamondbacks,628,155,17,107,67,18,0.28,0.355,0.43,108,2.5,5222
Darwin Barney,Cubs,588,139,7,73,44,6,0.254,0.299,0.354,75,2.5,2430
Marco Scutaro,- - -,683,190,7,87,74,9,0.306,0.348,0.405,99,2.5,1555
Jay Bruce,Reds,633,141,34,89,99,9,0.252,0.327,0.514,119,2.4,9892
Mark Trumbo,Angels,586,146,32,66,95,4,0.268,0.317,0.491,122,2.4,6876
Cody Ross,Red Sox,528,127,22,70,81,2,0.267,0.326,0.481,113,2.4,1760
Jamey Carroll,Twins,537,126,1,65,40,9,0.268,0.343,0.317,88,2.4,1591
Michael Saunders,Mariners,553,125,19,71,57,21,0.247,0.306,0.432,108,2.3,9981
Alex Rodriguez,Yankees,529,126,18,74,57,13,0.272,0.353,0.43,114,2.2,1274
Chris Davis,Orioles,562,139,33,75,85,2,0.27,0.326,0.501,120,2.1,9272
Paul Konerko,White Sox,598,159,26,66,75,0,0.298,0.371,0.486,131,2.1,242
Yonder Alonso,Padres,619,150,9,47,62,3,0.273,0.348,0.393,108,2,2530
Freddie Freeman,Braves,620,140,23,91,94,2,0.259,0.34,0.456,115,2,5361
Jason Kubel,Diamondbacks,571,128,30,75,90,1,0.253,0.327,0.506,115,1.9,2161
Garrett Jones,Pirates,515,130,27,68,86,2,0.274,0.317,0.516,123,1.9,2714
Hunter Pence,- - -,688,156,24,87,104,5,0.253,0.319,0.425,102,1.8,8252
Kendrys Morales,Angels,522,132,22,61,73,0,0.273,0.32,0.467,118,1.8,8610
Jose Altuve,Astros,630,167,7,80,37,33,0.29,0.34,0.399,104,1.8,5417
Alexei Ramirez,White Sox,621,157,9,59,73,20,0.265,0.287,0.364,70,1.8,5133
Daniel Murphy,Mets,612,166,6,62,65,10,0.291,0.332,0.403,101,1.8,4316
Yunel Escobar,Blue Jays,608,141,9,58,51,5,0.253,0.3,0.344,75,1.8,4191
Mike Aviles,Red Sox,546,128,13,57,60,14,0.25,0.282,0.381,74,1.8,5986
Chris Johnson,- - -,528,137,15,48,76,5,0.281,0.326,0.451,108,1.8,1191
Adam Dunn,White Sox,649,110,41,87,96,2,0.204,0.333,0.468,114,1.7,319
David DeJesus,Cubs,582,133,9,76,50,7,0.263,0.35,0.403,104,1.7,1825
Rickie Weeks,Brewers,677,135,21,85,63,16,0.23,0.328,0.4,100,1.6,1849
Ryan Doumit,Twins,528,133,18,56,75,0,0.275,0.32,0.461,110,1.6,2113
Ike Davis,Mets,584,118,32,66,90,0,0.227,0.308,0.462,110,1.6,8433
Dustin Ackley,Mariners,668,137,12,84,50,13,0.226,0.294,0.328,75,1.5,10099
Colby Rasmus,Blue Jays,625,126,23,75,75,4,0.223,0.289,0.4,85,1.4,9893
Drew Stubbs,Reds,544,105,14,75,40,30,0.213,0.277,0.333,64,1.3,9328
Nelson Cruz,Rangers,642,152,24,86,90,8,0.26,0.319,0.46,105,1.3,2434
Kevin Youkilis,- - -,509,103,19,72,60,0,0.235,0.336,0.409,102,1.3,1935
Rafael Furcal,Cardinals,531,126,5,69,49,12,0.264,0.325,0.346,87,1.2,88
Justin Morneau,Twins,570,135,19,63,77,1,0.267,0.333,0.44,108,0.9,1737
Carlos Pena,Rays,600,98,19,72,61,2,0.197,0.33,0.354,98,0.9,934
Gordon Beckham,White Sox,582,123,16,62,60,5,0.234,0.296,0.371,79,0.8,9015
Kelly Johnson,Blue Jays,581,114,16,61,55,14,0.225,0.313,0.365,86,0.7,2234
Mark Reynolds,Orioles,538,101,23,65,69,1,0.221,0.335,0.429,108,0.5,7619
Dayan Viciedo,White Sox,543,129,25,64,78,0,0.255,0.3,0.444,97,0.5,3917
Carlos Lee,- - -,615,145,9,53,77,3,0.264,0.332,0.365,91,0.3,243
Jordan Pacheco,Rockies,505,147,5,51,54,7,0.309,0.341,0.421,93,0.2,2677
Jemile Weeks,Athletics,511,98,2,54,20,16,0.221,0.305,0.304,73,0,2498
Jesus Montero,Mariners,553,134,15,46,62,0,0.26,0.298,0.386,90,-0.2,5514
Justin Smoak,Mariners,535,105,19,49,51,1,0.217,0.29,0.364,85,-0.3,9054
Delmon Young,Tigers,608,153,18,54,74,0,0.267,0.296,0.411,89,-0.7,2140
Eric Hosmer,Royals,598,124,14,65,60,16,0.232,0.304,0.359,81,-1.1,3516
Jeff Francoeur,Royals,603,132,16,58,49,4,0.235,0.287,0.378,77,-1.2,4792
Brennan Boesch,Tigers,503,113,12,52,54,6,0.24,0.286,0.372,77,-1.3,914
Michael Young,Rangers,651,169,8,79,67,2,0.277,0.312,0.37,78,-1.4,1286
