Name,Team,W,L,GS,IP,K/9,BB/9,GB%,SV,ERA,FIP,WAR,id
Jon Niese,Mets,13,9,30,190.1,7.33,2.32,48.30%,0,3.4,3.8,2.4,63
Fernando Rodney,Rays,2,2,0,74.2,9.16,1.81,57.90%,48,0.6,2.13,2.4,64
Brandon Morrow,Blue Jays,10,7,21,124.2,7.8,2.96,41.10%,0,2.96,3.65,2.4,65
Joe Blanton,- - -,10,13,30,191,7.82,1.6,44.60%,0,4.71,3.91,2.4,66
Bartolo Colon,Athletics,10,9,24,152.1,5.38,1.36,45.70%,0,3.43,3.82,2.4,67
Justin Masterson,Indians,11,15,34,206.1,6.94,3.84,55.70%,0,4.93,4.16,2.3,68
Matt Moore,Rays,11,11,31,177.1,8.88,4.11,37.40%,0,3.81,3.93,2.3,69
Josh Beckett,- - -,7,14,28,170.1,6.97,2.75,42.50%,0,4.65,4.15,2.3,70
Scott Feldman,Rangers,6,11,21,123.2,6.99,2.33,42.20%,0,5.09,3.81,2.3,71
Jake Westbrook,Cardinals,13,11,28,174.2,5.46,2.68,58.10%,0,3.97,3.8,2.3,72
Alex Cobb,Rays,11,9,23,136.1,7,2.64,58.80%,0,4.03,3.67,2.2,73
Wei-Yin Chen,Orioles,12,11,32,192.2,7.19,2.66,37.10%,0,4.02,4.42,2.2,74
Greg Holland,Royals,7,4,0,67,12.22,4.57,45.30%,16,2.96,2.29,2.2,75
David Hernandez,Diamondbacks,2,3,0,68.1,12.91,2.9,31.40%,4,2.5,2.08,2.1,76
Felix Doubront,Red Sox,11,10,29,161,9.34,3.97,43.70%,0,4.86,4.37,2.1,77
Mark Buehrle,Marlins,13,13,31,202.1,5.56,1.78,41.30%,0,3.74,4.18,2.1,78
Chris Capuano,Dodgers,12,12,33,198.1,7.35,2.45,40.30%,0,3.72,3.95,2.1,79
Matt Belisle,Rockies,3,8,0,80,7.76,2.03,50.60%,3,3.71,2.97,2.1,80
Colby Lewis,Rangers,6,6,16,105,7.97,1.2,33.00%,0,3.43,3.88,2.1,81
Gavin Floyd,White Sox,12,11,29,168,7.71,3.38,47.20%,0,4.29,4.46,2,82
Jake McGee,Rays,5,2,0,55.1,11.87,1.79,44.00%,0,1.95,1.81,2,83
Kevin Millwood,Mariners,6,12,28,161,5.98,3.13,44.70%,0,4.25,3.91,2,84
Kelvin Herrera,Royals,4,3,0,84.1,8.22,2.24,55.50%,3,2.35,2.7,1.9,85
Clay Buchholz,Red Sox,11,8,29,189.1,6.13,3.04,47.60%,0,4.56,4.65,1.9,86
Jose Quintana,White Sox,6,6,22,136.1,5.35,2.77,47.20%,0,3.76,4.23,1.9,87
Vance Worley,Phillies,6,9,23,133,7.24,3.18,46.00%,0,4.2,3.85,1.9,88
Phil Hughes,Yankees,16,13,32,191.1,7.76,2.16,32.40%,0,4.23,4.56,1.9,89
Brandon McCarthy,Athletics,8,6,18,111,5.92,1.95,40.50%,0,3.24,3.76,1.8,90
Francisco Liriano,- - -,6,12,28,156.2,9.59,5,43.80%,0,5.34,4.34,1.8,91
Luis Mendoza,Royals,8,10,25,166,5.64,3.2,52.10%,0,4.23,4.28,1.8,92
Dan Haren,Angels,12,13,30,176.2,7.23,1.94,39.60%,0,4.33,4.24,1.8,93
Sean Marshall,Reds,5,5,0,61,10.92,2.36,56.30%,9,2.51,2.24,1.8,94
Jeff Francis,Rockies,6,7,24,113,6.05,1.75,50.30%,0,5.58,4.27,1.8,95
Ross Detwiler,Nationals,10,8,27,164.1,5.75,2.85,50.80%,0,3.4,4.04,1.8,96
Joe Nathan,Rangers,3,5,0,64.1,10.91,1.82,45.40%,37,2.8,2.78,1.8,97
J.A. Happ,- - -,10,11,24,144.2,8.96,3.48,44.00%,0,4.79,4.01,1.8,98
Derek Holland,Rangers,12,7,27,175.1,7.44,2.67,43.10%,0,4.67,4.75,1.7,99
David Robertson,Yankees,2,7,0,60.2,12.02,2.82,44.90%,2,2.67,2.48,1.7,100
Kenley Jansen,Dodgers,5,3,0,65,13.71,3.05,32.80%,25,2.35,2.4,1.7,101
Drew Smyly,Tigers,4,3,18,99.1,8.52,2.99,39.90%,0,3.99,3.83,1.7,102
Andy Pettitte,Yankees,5,4,12,75.1,8.24,2.51,56.30%,0,2.87,3.48,1.7,103
Jeff Karstens,Pirates,5,4,15,90.2,6.55,1.49,36.80%,0,3.97,3.32,1.7,104
James McDonald,Pirates,12,8,29,171,7.95,3.63,39.20%,0,4.21,4.21,1.7,105
J.J. Putz,Diamondbacks,1,5,0,54.1,10.77,1.82,45.70%,32,2.82,2.38,1.6,106
Jake Arrieta,Orioles,3,9,18,114.2,8.56,2.75,43.80%,0,6.2,4.05,1.6,107
Ivan Nova,Yankees,12,8,28,170.1,8.08,2.96,45.20%,0,5.02,4.6,1.6,108
Ryan Cook,Athletics,6,2,0,73.1,9.82,3.31,46.80%,14,2.09,2.89,1.6,109
Tom Wilhelmsen,Mariners,4,3,0,79.1,9.87,3.29,48.30%,29,2.5,2.89,1.5,110
Dillon Gee,Mets,6,7,17,109.2,7.96,2.38,50.30%,0,4.1,3.71,1.5,111
Octavio Dotel,Tigers,5,3,0,58,9.62,1.86,40.00%,1,3.57,2.3,1.5,112
Mike Leake,Reds,8,9,30,179,5.83,2.06,48.90%,0,4.58,4.42,1.5,113
Bud Norris,Astros,7,13,29,168.1,8.82,3.53,39.20%,0,4.65,4.23,1.5,114
Luke Hochevar,Royals,8,16,32,185.1,6.99,2.96,43.30%,0,5.73,4.63,1.5,115
Brandon Beachy,Braves,5,5,13,81,7.56,3.22,41.30%,0,2,3.49,1.5,116
Aaron Harang,Dodgers,10,10,31,179.2,6.56,4.26,38.60%,0,3.61,4.14,1.5,117
Patrick Corbin,Diamondbacks,6,8,17,107,7.23,2.1,45.70%,1,4.54,4,1.5,118
Tim Lincecum,Giants,10,15,33,186,9.19,4.35,45.90%,0,5.18,4.18,1.5,119
Grant Balfour,Athletics,3,2,0,74.2,8.68,3.38,35.80%,24,2.53,3.03,1.5,120
Rafael Betancourt,Rockies,1,4,0,57.2,8.9,1.87,36.00%,31,2.81,3.09,1.4,121
Jonathan Papelbon,Phillies,5,6,0,70,11.83,2.31,41.50%,38,2.44,2.89,1.4,122
Jim Johnson,Orioles,2,1,0,68.2,5.37,1.97,62.30%,51,2.49,3.25,1.4,123
Mike Minor,Braves,11,10,30,179.1,7.28,2.81,35.40%,0,4.12,4.38,1.4,124
Shaun Marcum,Brewers,7,4,21,124,7.91,2.98,35.40%,0,3.7,4.1,1.4,125
Darren O'Day,Orioles,7,1,0,67,9.27,1.88,33.90%,0,2.28,2.96,1.4,126
Wilton Lopez,Astros,6,3,0,66.1,7.33,1.09,55.00%,10,2.17,2.7,1.4,127
Matt Thornton,White Sox,4,10,0,65,7.34,2.35,54.30%,3,3.46,3.19,1.4,128
Edinson Volquez,Padres,11,11,32,182.2,8.57,5.17,50.60%,0,4.14,4.06,1.3,129
Bruce Chen,Royals,11,14,34,191.2,6.57,2.21,32.70%,0,5.07,4.73,1.3,130
Brian Duensing,Twins,4,12,11,109,5.7,2.23,47.30%,0,5.12,3.82,1.3,131
Zach McAllister,Indians,6,8,22,125.1,7.9,2.73,40.50%,0,4.24,4.24,1.3,132
Jonathan Broxton,- - -,4,5,0,58,6.98,2.64,53.80%,27,2.48,3.03,1.3,133
A.J. Griffin,Athletics,7,1,15,82.1,7,2.08,37.50%,0,3.06,3.85,1.3,134
Erik Bedard,Pirates,7,14,24,125.2,8.45,4.01,43.30%,0,5.01,4.07,1.3,135
Rex Brothers,Rockies,8,2,0,67.2,11.04,4.92,47.10%,0,3.86,3.29,1.3,136
Kyle Kendrick,Phillies,11,12,25,159.1,6.55,2.77,46.50%,0,3.9,4.32,1.2,137
Aaron Crow,Royals,3,1,0,64.2,9.05,3.06,52.90%,2,3.48,2.96,1.2,138
Matt Garza,Cubs,5,7,18,103.2,8.33,2.78,47.30%,0,3.91,4.17,1.2,139
Rafael Soriano,Yankees,2,1,0,67.2,9.18,3.19,35.90%,42,2.26,3.32,1.2,140
Travis Blackley,- - -,6,4,15,107.2,5.93,2.67,47.70%,0,4.1,3.96,1.2,141
Sergio Romo,Giants,4,2,0,55.1,10.25,1.63,48.50%,14,1.79,2.7,1.2,142
Jeremy Hefner,Mets,4,7,13,93.2,5.96,1.73,43.80%,0,5.09,3.66,1.2,143
Casey Janssen,Blue Jays,1,1,0,63.2,9.47,1.55,42.50%,22,2.54,3.08,1.2,144
Chris Tillman,Orioles,9,3,15,86,6.91,2.51,34.50%,0,2.93,4.25,1.2,145
Nathan Eovaldi,- - -,4,13,22,119.1,5.88,3.54,45.50%,0,4.3,4.13,1.1,146
Matt Harvey,Mets,3,5,10,59.1,10.62,3.94,38.10%,0,2.73,3.3,1.1,147
Jason Motte,Cardinals,4,5,0,72,10.75,2.13,40.70%,42,2.75,3.12,1.1,148
Jeremy Affeldt,Giants,1,2,0,63.1,8.1,3.27,59.90%,3,2.7,2.73,1.1,149
Glen Perkins,Twins,3,1,0,70.1,9.98,2.05,42.50%,16,2.56,3.17,1.1,150
Jason Grilli,Pirates,1,6,0,58.2,13.81,3.38,30.70%,2,2.91,2.8,1.1,151
Nate Jones,White Sox,8,0,0,71.2,8.16,4.02,45.50%,0,2.39,3.39,1.1,152
Wade Davis,Rays,3,0,0,70.1,11.13,3.71,38.60%,0,2.43,2.78,1.1,153
Johan Santana,Mets,6,9,21,117,8.54,3,33.10%,0,4.85,4.09,1.1,154
Miguel Gonzalez,Orioles,9,4,15,105.1,6.58,2.99,34.90%,0,3.25,4.38,1.1,155
Juan Nicasio,Rockies,2,3,11,58,8.38,3.41,39.70%,0,5.28,3.99,1.1,156
Derek Lowe,- - -,9,11,21,142.2,3.47,3.22,59.20%,1,5.11,4.37,1.1,157
Sean Burnett,Nationals,1,2,0,56.2,9.05,1.91,57.40%,2,2.38,2.79,1.1,158
Jerome Williams,Angels,6,8,15,137.2,6.41,2.29,53.60%,1,4.58,4.15,1.1,159
Darren Oliver,Blue Jays,3,4,0,56.2,8.26,2.38,44.20%,2,2.06,2.95,1.1,160
Sam LeCure,Reds,3,3,0,57.1,9.58,3.61,47.60%,0,3.14,2.9,1,161
Eric Stults,- - -,8,3,15,99,5,2.45,40.40%,0,2.91,3.78,1,162
Randall Delgado,Braves,4,9,17,92.2,7.38,4.08,50.20%,0,4.37,4.07,1,163
Bobby Parnell,Mets,5,4,0,68.2,8,2.62,61.50%,7,2.49,2.99,1,164
Scott Atchison,Red Sox,2,1,0,51.1,6.31,1.58,55.30%,0,1.58,2.72,1,165
Christian Friedrich,Rockies,5,8,16,84.2,7.87,3.19,42.20%,0,6.17,4.63,1,166
Joel Peralta,Rays,2,6,0,67,11.28,2.28,30.00%,2,3.63,3.14,1,167
Joe Kelly,Cardinals,5,7,16,107,6.31,3.03,51.70%,0,3.53,4,1,168
Brad Ziegler,Diamondbacks,6,1,0,68.2,5.5,2.75,75.50%,0,2.49,3.21,1,169
Tommy Hanson,Braves,13,10,31,174.2,8.3,3.66,39.80%,0,4.48,4.57,1,170
Jeremy Guthrie,- - -,8,12,29,181.2,5,2.48,40.80%,0,4.76,5.1,1,171
Tyler Clippard,Nationals,2,6,0,72.2,10.4,3.59,29.70%,32,3.72,3.31,1,172
Josh Collmenter,Diamondbacks,5,3,11,90.1,7.97,2.19,37.40%,0,3.69,3.92,1,173
Vinnie Pestano,Indians,3,3,0,70,9.77,3.09,40.90%,2,2.57,3.42,1,174
Drew Pomeranz,Rockies,2,9,22,96.2,7.73,4.28,43.90%,0,4.93,4.81,1,175
Jeremy Hellickson,Rays,10,11,31,177,6.31,3,41.80%,0,3.1,4.6,1,176
Robbie Ross,Rangers,6,0,0,65,6.51,3.18,62.40%,0,2.22,3.4,1,177
Brayan Villarreal,Tigers,3,5,0,54.2,10.87,4.61,30.50%,0,2.63,2.98,0.9,178
Steve Cishek,Marlins,5,2,0,63.2,9.61,4.1,52.40%,15,2.69,3.22,0.9,179
Ronald Belisario,Dodgers,8,1,0,71,8.75,3.68,64.50%,1,2.54,3.09,0.9,180
Erasmo Ramirez,Mariners,1,3,8,59,7.32,1.83,40.40%,0,3.36,3.55,0.9,181
Alexi Ogando,Rangers,2,0,1,66,9,2.32,37.50%,3,3.27,3.73,0.9,182
Brandon League,- - -,2,6,0,72,6.75,4.13,50.20%,15,3.13,3.19,0.9,183
Kevin Correia,Pirates,12,11,28,171,4.68,2.42,51.20%,0,4.21,4.43,0.9,184
Addison Reed,White Sox,3,2,0,55,8.84,2.95,32.90%,29,4.75,3.64,0.9,185
Mike Adams,Rangers,5,3,0,52.1,7.74,2.92,46.80%,1,3.27,3.52,0.9,186
Pedro Strop,Orioles,5,2,0,66.1,7.87,5.02,64.80%,3,2.44,3.59,0.9,187
Jared Burton,Twins,3,2,0,62,7.98,2.32,48.50%,5,2.18,3.38,0.9,188
Troy Patton,Orioles,1,0,0,55.2,7.92,1.94,50.30%,0,2.43,3.26,0.9,189
Tim Collins,Royals,5,4,0,69.2,12.01,4.39,40.90%,0,3.36,3.47,0.9,190
Chris Perez,Indians,0,4,0,57.2,9.21,2.5,40.60%,39,3.59,3.34,0.8,191
Craig Breslow,- - -,3,0,0,63.1,8.67,3.13,45.00%,0,2.7,3.33,0.8,192
Esmil Rogers,- - -,3,3,0,78.2,9.5,3.43,47.40%,0,4.69,3.48,0.8,193
Roy Oswalt,Rangers,4,3,9,59,9,1.68,44.90%,0,5.8,4.23,0.8,194
Jose Valverde,Tigers,3,4,0,69,6.26,3.52,34.00%,35,3.78,3.62,0.8,195
David Phelps,Yankees,4,4,11,99.2,8.67,3.43,42.90%,0,3.34,4.32,0.8,196
Brian Matusz,Orioles,6,10,16,98,7.44,3.77,40.60%,0,4.87,4.69,0.8,197
Luis Ayala,Orioles,5,5,0,75,6.12,1.68,49.00%,1,2.64,3.67,0.8,198
Jose Mijares,- - -,3,2,0,56.1,9.11,3.36,34.60%,0,2.56,3.09,0.8,199
Barry Zito,Giants,15,8,32,184.1,5.57,3.42,40.40%,0,4.15,4.49,0.8,200
Jordan Lyles,Astros,5,12,25,141.1,6.3,2.67,53.90%,0,5.09,4.53,0.8,201
Craig Stammen,Nationals,6,1,0,88.1,8.86,3.67,45.00%,1,2.34,3.45,0.8,202
Hisashi Iwakuma,Mariners,9,5,16,125.1,7.25,3.09,52.20%,2,3.16,4.35,0.8,203
Carlos Zambrano,Marlins,7,10,20,132.1,6.46,5.1,49.10%,0,4.49,4.47,0.8,204
Jason Vargas,Mariners,14,11,33,217.1,5.84,2.28,40.20%,0,3.85,4.69,0.8,205
