Name,Team,W,L,GS,IP,K/9,BB/9,GB%,SV,ERA,FIP,WAR,id
Dylan Axelrod,White Sox,2,2,7,51,7.06,3.71,44.80%,0,5.47,5.04,0.2,271
Clayton Richard,Padres,14,14,33,218.2,4.4,1.73,53.80%,0,3.99,4.62,0.2,272
Aaron Cook,Red Sox,4,11,18,94,1.91,2.01,58.60%,0,5.65,5.45,0.2,273
Hisanori Takahashi,- - -,0,3,0,50.1,9.3,2.5,37.10%,0,5.54,3.93,0.2,274
Chris Volstad,Cubs,3,12,21,111.1,4.93,3.48,49.20%,0,6.31,5.11,0.2,275
Hector Santiago,White Sox,4,1,4,70.1,10.11,5.12,38.20%,4,3.33,4.7,0.2,276
John Axford,Brewers,5,8,0,69.1,12.07,5.06,46.30%,35,4.67,4.06,0.2,277
Jamie Moyer,Rockies,2,5,10,53.2,6.04,3.02,42.60%,0,5.7,5.54,0.2,278
Brett Myers,- - -,3,8,0,65.1,5.65,2.07,51.20%,19,3.31,4.26,0.1,279
Brett Cecil,Blue Jays,2,4,9,61.1,7.48,3.38,37.00%,0,5.72,5.03,0.1,280
Jon Rauch,Mets,3,7,0,57.2,6.55,1.87,36.60%,4,3.59,3.89,0.1,281
Chris Resop,Pirates,1,4,0,73.2,5.62,2.93,50.40%,1,3.91,3.96,0.1,282
Josh Roenicke,Rockies,4,2,0,88.2,5.48,4.36,50.20%,1,3.25,4.72,0.1,283
Ramon Ramirez,Mets,3,4,0,63.2,7.35,4.95,46.70%,1,4.24,3.93,0.1,284
Jerry Blevins,Athletics,5,1,0,65.1,7.44,3.44,38.50%,1,2.48,4.21,0.1,285
Matt Reynolds,Rockies,3,1,0,57.1,8.01,2.67,43.00%,0,4.4,4.7,0.1,286
Jared Hughes,Pirates,2,2,0,75.2,5.95,2.62,59.60%,2,2.85,4.05,0,287
Jose Arredondo,Reds,6,2,0,61,9.15,5.02,45.40%,1,2.95,4.27,0,288
Kameron Loe,Brewers,6,5,0,68.1,7.24,2.63,57.30%,2,4.61,4.21,0,289
Josh Tomlin,Indians,5,8,16,103.1,4.88,2.18,41.60%,0,6.36,5.09,0,290
Fernando Rodriguez,Astros,2,10,0,70.1,9.98,4.35,35.40%,0,5.37,4.22,-0.1,291
P.J. Walters,Twins,2,5,12,61.2,6.13,3.21,40.60%,0,5.69,5.48,-0.1,292
Louis Coleman,Royals,0,0,0,51,11.47,4.59,20.00%,0,3.71,4.68,-0.1,293
Matt Albers,- - -,3,1,0,60.1,6.56,3.28,55.30%,0,2.39,4.77,-0.1,294
Samuel Deduno,Twins,6,5,15,79,6.49,6.04,58.30%,0,4.44,5.5,-0.1,295
Santiago Casilla,Giants,7,6,0,63.1,7.82,3.13,55.00%,25,2.84,4.14,-0.1,296
Kyle Drabek,Blue Jays,4,7,13,71.1,5.93,5.93,54.10%,0,4.67,5.62,-0.1,297
Anthony Swarzak,Twins,3,6,5,96.2,5.77,2.89,43.40%,0,5.03,4.79,-0.2,298
Ryan Mattheus,Nationals,5,3,0,66.1,5.56,2.58,49.70%,0,2.85,4.42,-0.2,299
Liam Hendriks,Twins,1,8,16,85.1,5.27,2.74,41.00%,0,5.59,5.57,-0.2,300
Philip Humber,White Sox,5,5,16,102,7.5,3.88,34.90%,0,6.44,5.77,-0.2,301
Jason Marquis,- - -,8,11,22,127.2,6.42,2.96,52.50%,0,5.22,5.09,-0.2,302
Tony Sipp,Indians,1,2,0,55,8.35,3.76,32.90%,1,4.42,4.68,-0.3,303
Aaron Laffey,Blue Jays,4,6,16,100.2,4.29,3.31,49.80%,0,4.56,5.59,-0.3,304
J.P. Howell,Rays,1,0,0,50.1,7.51,3.93,48.90%,0,3.04,4.78,-0.3,305
Everett Teaford,Royals,1,4,5,61.1,5.14,3.08,43.80%,0,4.99,5.41,-0.3,306
Joel Hanrahan,Pirates,5,2,0,59.2,10.11,5.43,38.70%,36,2.72,4.45,-0.4,307
Jeanmar Gomez,Indians,5,8,17,90.2,4.67,3.38,48.40%,0,5.96,5.47,-0.4,308
Miguel Batista,- - -,1,3,5,52.2,6.15,5.64,46.20%,0,4.61,5.15,-0.4,309
Chad Qualls,- - -,2,1,0,52.1,4.64,2.41,55.40%,0,5.33,4.6,-0.4,310
Rhiner Cruz,Astros,1,1,0,55,7.53,4.75,39.10%,0,6.05,5,-0.4,311
Daniel Bard,Red Sox,5,6,10,59.1,5.76,6.52,43.70%,0,6.22,6.36,-0.4,312
Tommy Hunter,Orioles,7,8,20,133.2,5.18,1.82,45.40%,0,5.45,5.75,-0.4,313
Chad Durbin,Braves,4,1,0,61,7.23,4.13,47.70%,1,3.1,4.78,-0.4,314
Clay Hensley,Giants,4,5,0,50.2,7.46,5.33,50.70%,3,4.62,4.67,-0.5,315
Dallas Keuchel,Astros,3,8,16,85.1,4.01,4.11,52.10%,0,5.27,5.74,-0.6,316
Brad Brach,Padres,2,4,0,66.2,10.13,4.46,35.10%,0,3.78,4.56,-0.7,317
Jonathan Sanchez,- - -,1,9,15,64.2,6.26,7.38,39.70%,0,8.07,6.6,-0.7,318
Hector Noesi,Mariners,2,12,18,106.2,5.74,3.29,37.00%,0,5.82,5.53,-0.7,319
Livan Hernandez,- - -,4,1,0,67.1,6.42,2.14,39.90%,1,6.42,5.32,-0.7,320
Nick Blackburn,Twins,4,9,19,98.2,3.83,2.37,45.20%,0,7.39,6.09,-0.8,321
Jeff Gray,Twins,6,1,0,52,4.5,3.81,40.70%,0,5.71,5.84,-0.8,322
Ervin Santana,Angels,9,13,30,178,6.72,3.08,43.20%,0,5.16,5.63,-0.9,323
Logan Ondrusek,Reds,5,2,0,54.2,6.42,5.1,43.40%,2,3.46,5.44,-0.9,324
Josh Lindblom,- - -,3,5,0,71,8.87,4.44,35.80%,1,3.55,5.15,-1.1,325
